#RIC,ISIN,CUSIP,SEDOL,GICS,Exchange,Name,Type,Currency,First Date,Last Date,Expiry Date,Strike Price,Options Type,Maturity,Coupon,Bond,Rating,PE Code,Underlying RIC,New RIC Symbol,Release Cycle
STCXH.LU,LU0720694636,N/A,N/A,N/A,LUX,SAINT CROIX->StCroix->STCROIX,113,EUR,20111220,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5365,STCXH.LU,,2
SHA.LU,DE000SHA0159,N/A,N/A,N/A,LUX,SCHAEFFLER,113,EUR,20151007,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5365,SHA.DE->SHA_p.DE,,2
SESFg.LU,LU0088087324,N/A,N/A,N/A,LUX,SESG->SESG FDR,113,EUR,20070831,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5365,SESFg.LU,,2
CULKe.LU,LU0056569402,N/A,N/A,N/A,LUX,->Intercultures p->INTERCULTURES->SOCFINAF->Socfinaf->SOCFINAF,113,LUF->EUR,19960106,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,114->5365->0->5365,CULKe.LU,,2
SOFI.LU,LU0092047413,N/A,N/A,N/A,LUX,SOCFINASIA->Socfinas->SOCFINAS,113,LUF->EUR,19960106,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,114->5365,SOFI.LU,,2
009204741X.LU,N/A,N/A,N/A,N/A,LUX,SOCFINASIA,97,LUF,19981110,19981210,N/A,N/A,N/A,N/A,N/A,N/A,N/A,151,N/A,,2
SELU_p.LU,LU0011858965,N/A,N/A,N/A,LUX,SEO PREF B->SEO .prvB p+n->SEO PREF B->SEO prvB->SEO PRVB,97->113,->USD->LUF->EUR->LUF->EUR,19960106,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,151->6203->5365->0->5365,SELU_p.LU,,2
SELU.LU,LU0011858700,N/A,N/A,N/A,LUX,SEO 1/5->SEO 15prvB->SEO 15PRVB,113,EUR,20100611,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5365,SELU_p.LU,,2
SELU_pa.LU,LU0011858700,N/A,N/A,N/A,LUX,SEO 1/5 PREF B->SEO 1/5prvB p+n->SEO 1/5 PREF B->**SEE<SELU.LU>,97->113->225,->USD->LUF->EUR->LUF->EUR,19960106,20100703,N/A,N/A,N/A,N/A,N/A,N/A,N/A,151->6203->5365->0->5365,SELU_p.LU,,0
SCFK.LU,LU0027967834,N/A,N/A,N/A,LUX,->Socfinal p+n->SOCFINAL->SOCFINCAOUTCHCS->SocFin->SOCFIN,113,LUF->EUR,19960106,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,114->5365->0->5365,SCFK.LU,,2
SBREa.LU,GB0057139940,N/A,N/A,N/A,LUX,->SUN INTERBREW A->SUN INTERBREW->SUNINTERBREW->SunInter act cl->SUNINTER ACT CL,113,USD,19990823,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5365->0->5365,SBREqb.DE->SBREb.LU,,2
SBREA.LU,N/A,N/A,N/A,N/A,LUX,SUN ENTERBREW,113,EUR,19990823,19990823,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5365,N/A,,2
SBREb.LU,GB0049659120,N/A,N/A,N/A,LUX,->SUN INTERBREW B->SUN INTERBREW->SUNINTERBREW->SunInter act cl->SUNINTER ACT CL,113,USD,19990823,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5365->0->5365,SBREqb.DE->SBREb.LU,,2
TINTB.LU,DE000A1PG7W8,N/A,N/A,N/A,LUX,TINTBRIGHT AG->TINTBR,113,EUR,20140122,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5365,TINTB.LU->TBRG.DE->TBRG.F->TBRG.BE->TINTB.LU,,2
ZAICG.LU,LU0982016452,N/A,N/A,N/A,LUX,ZAI CAPITAL GROU,113,EUR,20131127,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5365,ZAICG.LU,,2
VOWG.IB,N/A,N/A,N/A,N/A,GER,VOLKSWAGEN AG,113->229->113->229,DEM,19960101,19980222,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2432->0->2432->0,N/A,,0
VOWG.LU,DE0007664005,N/A,N/A,N/A,LUX,VOLKSWAGEN->Volkswagen ord->VOLKSWAGEN->VW ord->VW ORD,113,LUF->EUR,19960106,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,114->5365->0->5365,VOWG.DE->VOWG_p.DE,,2
001117432_p.LU,N/A,N/A,N/A,N/A,LUX,VOLKSWAGEN PRIV,97,LUF->EUR,19960106,19990705,N/A,N/A,N/A,N/A,N/A,N/A,N/A,151->6203,N/A,,2
VOWG_p.LU,DE0007664039,N/A,N/A,N/A,LUX,VOLKSWAGEN PRIV->Volkswagen prv->VOLKSWAGEN PRIV->VW prv->VW PRV,97->113,->USD->LUF->EUR->LUF->EUR,19990705,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6203->5365->0->5365,VOWG.DE->VOWG_p.DE,,2
VOWG_p.IB,N/A,N/A,N/A,N/A,GER,VOLKSWAGEN AG VZ,113->229->113->229,DEM,19960101,19980222,N/A,N/A,N/A,N/A,N/A,N/A,N/A,->2923->2432->0->2432->0,N/A,,0
ANNGn.LU,DE000A1ML7J1,N/A,N/A,N/A,LUX,DT ANNINGTON->VONOVIA,113,EUR,20141010,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5365,ANNGn.DE->VNAn.DE,,2
